A,B,C,D
15,26,1,2
33,34,17,14
62,52,63,41
96,82,24,85
28,25,15,76
4,66,73,37
47,38,58,56
50,17,47,42
27,14,39,31
45,74,92,35
46,79,78,4
14,54,42,70
11,67,47,78
5,21,34,96
7,1,8,24
8,78,66,17
30,27,78,99
76,17,64,70
82,90,34,45
78,71,7,33
94,66,70,82
88,57,74,31
56,50,39,32
83,68,63,97
31,7,47,33
91,10,47,51
97,34,14,28
67,12,97,22
28,15,28,13
2,33,35,39
80,64,12,14
87,42,94,78
97,43,94,29
41,52,26,30
10,87,24,87
19,64,24,62
51,38,11,52
69,98,9,32
15,96,96,13
55,50,18,49
30,61,79,25
32,29,98,96
86,11,94,82
51,26,84,5
14,2,44,90
88,92,98,61
70,45,16,7
25,31,52,50
55,71,41,4
15,60,36,55
26,26,64,22
3,11,93,57
83,72,20,79
57,32,4,54
25,62,53,26
64,2,44,75
87,48,88,96
75,21,53,92
4,44,30,29
80,67,79,41
92,48,70,48
72,8,25,81
96,83,83,34
57,19,81,31
13,27,54,40
82,11,30,75
77,45,72,53
45,97,36,83
70,93,78,26
60,80,50,32
2,32,32,4
33,35,3,57
94,91,47,30
67,45,93,43
58,79,25,80
63,40,68,8
95,78,70,79
33,97,91,97
84,90,24,27
74,79,14,41
38,60,65,52
97,2,59,75
8,42,46,36
77,97,17,51
31,45,7,80
28,5,72,41
37,68,87,46
53,64,27,94
82,97,6,34
85,63,23,99
73,42,71,82
16,16,57,42
10,30,92,17
19,82,64,56
38,82,96,4
88,81,97,95
48,50,4,98
29,60,13,55
24,80,10,39
96,43,29,59
82,99,67,89
55,66,72,87
26,52,51,40
23,96,60,70
73,83,57,23
67,66,29,4
16,78,18,62
11,87,99,81
29,86,67,94
61,42,89,62
34,90,45,43
98,40,16,75
58,45,74,13
14,62,94,59
75,90,12,20
40,99,57,59
21,48,92,29
56,69,40,89
4,88,33,58
24,23,77,50
81,40,18,20
27,42,17,71
4,24,64,10
17,54,92,67
40,74,64,1
70,20,40,13
47,59,39,41
95,36,33,72
87,49,72,20
29,16,77,79
71,39,97,28
70,91,64,15
77,21,70,3
25,65,17,86
8,85,28,42
72,92,96,15
36,68,15,68
82,38,32,38
30,5,88,19
44,53,55,96
90,40,77,10
92,72,18,49
61,76,17,53
99,8,67,74
22,72,2,27
44,34,44,31
46,16,82,92
4,23,90,53
35,62,39,91
26,68,69,53
21,63,7,31
29,7,38,80
7,78,6,26
59,21,63,64
36,69,9,62
87,42,4,65
8,7,9,50
41,74,23,58
47,21,33,95
16,15,51,41
30,6,24,90
96,59,89,8
60,83,50,59
55,94,14,80
55,68,71,86
76,91,84,97
18,11,16,67
37,93,16,51
70,56,47,8
75,94,82,72
1,50,37,76
83,82,19,67
91,71,70,44
1,94,82,16
29,57,29,11
34,81,90,40
6,84,26,52
60,24,49,46
67,30,73,10
20,17,8,97
68,84,36,32
32,11,64,73
71,17,54,30
88,34,58,29
8,94,58,75
84,34,46,10
33,2,82,95
93,53,17,71
7,1,47,48
97,49,11,91
8,13,86,14
55,56,35,89
87,21,74,50
57,85,28,79
46,71,49,32
34,73,88,50
58,72,88,14
97,51,82,7
19,63,28,28
81,59,10,76
69,47,36,54
5,60,52,67
15,2,33,5
35,49,2,59
47,96,28,83
71,2,42,79
55,60,22,64
5,77,82,57
13,27,80,72
74,30,92,69
3,90,20,48
2,39,64,71
43,52,62,69
95,43,38,53
27,86,8,64
54,62,99,75
59,53,69,64
20,53,17,53
21,67,86,57
44,40,22,86
79,95,39,1
9,93,83,24
77,80,20,78
26,8,68,13
82,88,14,22
10,80,75,29
67,76,53,83
23,68,59,53
32,3,57,25
96,92,44,89
60,43,5,17
8,32,53,74
90,76,13,72
48,22,40,39
5,24,26,65
86,78,38,91
23,9,93,12
54,61,79,67
55,61,32,55
18,94,69,61
45,15,83,89
75,74,48,89
60,93,98,70
82,19,68,2
54,71,98,29
10,55,66,80
23,72,54,80
93,74,9,28
81,57,38,84
89,19,49,77
51,40,67,60
8,46,85,83
43,53,16,95
12,92,21,22
19,38,91,61
88,27,4,60
3,24,60,96
10,17,90,25
64,98,29,22
62,49,92,31
33,67,68,66
60,27,12,8
4,22,87,18
3,71,91,61
16,27,37,29
3,63,67,9
45,63,72,53
3,81,34,56
74,67,15,16
99,19,39,65
75,30,95,54
57,21,90,43
42,57,37,55
68,97,57,80
98,21,7,72
39,60,1,86
72,22,89,57
9,64,34,79
68,74,55,59
92,17,50,98
3,93,78,18
91,43,58,42
79,67,18,98
5,3,32,24
90,42,56,39
37,93,98,80
15,62,7,87
39,9,70,25
29,62,31,12
33,13,83,74
99,92,46,83
63,45,75,80
83,84,20,88
46,89,45,29
81,72,36,60
77,53,91,26
79,71,94,77
32,76,87,81
73,24,3,80
67,65,2,1
99,92,45,42
97,69,17,63
89,32,44,51
6,96,38,62
45,81,62,48
43,10,65,61
7,77,21,47
98,75,73,41
8,76,51,66
40,19,73,5
68,4,74,48
83,59,37,41
45,20,20,18
9,81,89,10
92,47,96,47
99,15,39,98
21,15,24,92
19,42,37,15
40,39,87,96
34,10,69,23
92,25,14,2
41,76,71,93
77,71,1,5
22,91,65,61
26,24,61,16
4,44,67,96
14,31,97,89
91,65,22,13
67,19,89,4
19,32,50,66
4,83,53,37
90,8,92,71
21,71,58,45
86,32,32,96
31,59,2,48
31,69,99,75
63,6,11,95
42,20,94,36
36,63,55,97
5,70,6,64
21,7,58,59
3,54,10,86
51,54,27,26
88,2,25,59
76,19,84,39
34,88,96,32
45,37,9,3
58,37,84,51
47,26,56,46
60,31,53,58
30,65,45,63
30,49,42,3
93,47,63,99
65,39,51,34
71,11,19,21
11,40,22,20
91,14,84,20
76,35,90,39
13,99,3,98
20,15,84,49
20,73,15,17
99,77,48,24
40,88,71,75
8,67,39,10
67,32,13,84
30,79,51,33
82,73,23,70
11,66,95,21
15,64,44,8
72,29,58,37
41,67,11,41
17,67,7,85
53,53,46,92
91,72,52,65
15,87,8,37
98,40,88,1
83,53,38,29
5,41,13,95
83,68,89,26
20,60,21,94
96,77,8,34
64,70,25,46
54,7,22,44
39,49,98,38
75,63,39,69
67,51,27,34
60,41,7,88
4,79,31,19
18,2,6,6
91,56,83,58
93,35,59,21
79,89,60,20
29,35,53,10
18,54,90,7
5,48,70,74
98,89,82,48
76,45,17,92
74,64,61,7
63,6,80,41
48,56,46,59
29,72,91,85
87,53,34,46
81,75,69,52
93,76,23,34
74,41,10,79
54,46,20,20
16,53,40,62
84,11,8,76
6,47,33,90
34,95,32,54
27,71,27,6
9,55,1,65
84,70,66,30
18,5,97,70
2,13,19,6
22,4,27,12
69,9,85,55
32,2,54,91
1,33,35,41
64,4,88,9
6,42,33,79
26,88,51,53
75,54,48,39
77,72,6,19
13,16,2,74
17,27,20,18
67,76,25,78
88,9,42,5
