E,F,G,H
33,75,5,59
89,14,89,46
21,54,62,55
3,17,50,72
42,51,91,98
52,63,28,3
63,78,61,59
17,37,34,31
77,79,47,96
17,13,72,77
72,70,58,52
53,47,20,42
84,86,20,93
58,70,60,19
41,18,15,2
95,66,82,10
85,34,21,82
64,77,60,10
41,89,73,63
71,29,11,10
99,17,15,75
31,25,49,92
66,5,98,51
1,78,69,27
26,33,90,35
84,41,85,79
18,14,84,10
34,80,56,17
84,15,70,97
10,81,40,41
55,90,44,33
98,61,44,78
71,90,31,23
20,1,80,73
35,50,99,26
82,72,29,7
64,11,15,50
44,94,69,28
87,17,67,81
24,91,55,61
82,99,49,63
59,88,60,82
74,81,76,58
63,77,92,19
93,53,37,36
25,15,57,51
87,11,41,9
78,90,57,22
68,55,77,19
42,63,20,27
54,84,63,46
44,68,19,54
64,18,67,27
19,49,99,11
79,46,94,44
76,5,7,70
12,74,34,62
16,35,20,3
89,24,14,22
74,62,31,72
62,33,63,28
98,91,36,91
84,9,8,13
61,55,1,38
46,23,43,37
45,91,16,3
89,51,75,21
98,33,92,3
86,64,21,38
94,64,59,2
22,53,62,44
28,4,87,10
77,3,47,68
3,3,25,72
68,93,43,21
66,44,59,36
48,60,39,81
76,64,52,25
63,13,1,96
37,64,1,63
15,97,97,36
21,59,49,65
85,18,31,25
73,47,25,7
90,54,43,51
97,62,38,58
57,4,35,14
40,15,50,84
50,82,31,9
53,20,58,27
32,43,11,20
8,65,37,98
7,11,11,39
71,40,6,23
43,52,1,33
44,28,10,78
13,91,14,68
52,70,96,44
32,55,80,56
72,59,37,73
38,35,74,32
5,99,56,83
64,29,41,38
94,49,9,84
73,53,18,87
48,52,67,2
34,1,91,96
42,6,96,71
32,86,87,32
34,51,58,7
51,57,43,70
52,21,62,44
78,83,52,33
46,58,21,43
17,57,82,2
63,32,39,28
91,44,19,41
48,54,85,84
49,55,23,83
22,14,48,46
23,51,33,22
4,32,29,66
38,13,69,82
72,16,89,48
15,10,35,73
66,16,44,41
58,46,64,68
7,75,78,86
47,85,66,7
95,1,45,92
78,55,32,67
65,28,20,65
84,49,3,34
64,76,61,94
33,15,32,51
13,38,61,78
93,57,86,50
46,72,47,18
37,60,36,48
64,58,95,84
17,35,31,92
29,49,33,13
28,32,29,82
96,13,13,14
70,71,88,99
43,76,73,57
55,60,6,77
44,81,51,13
96,43,52,26
99,3,74,15
50,84,59,4
4,53,70,68
43,64,19,10
6,79,28,88
69,79,83,88
42,61,77,11
5,43,57,25
25,60,65,15
84,79,46,95
17,34,73,32
14,61,64,51
7,4,1,42
4,37,36,87
34,42,39,57
5,8,30,66
78,98,63,33
27,80,66,46
73,88,91,87
47,95,39,40
93,64,7,10
77,28,26,33
11,22,98,51
60,86,6,31
74,50,2,79
29,47,48,63
90,20,60,96
22,25,83,23
21,64,37,44
86,74,51,43
31,48,75,36
45,29,79,15
64,44,56,3
38,52,49,59
78,21,7,46
56,66,40,52
70,9,36,61
78,45,90,35
55,39,37,73
93,84,37,58
6,84,54,9
17,43,94,15
84,49,89,53
11,64,24,87
28,40,37,28
84,76,29,33
58,74,23,23
20,53,91,58
52,72,14,40
59,59,45,8
56,80,13,28
38,13,16,85
36,85,78,34
55,83,58,77
33,66,21,51
91,26,46,55
39,32,47,50
73,61,75,18
7,69,42,12
26,43,59,78
36,97,88,9
61,10,96,70
75,81,39,81
59,91,15,92
23,48,98,31
8,83,73,26
57,39,18,49
2,29,25,6
39,32,75,79
33,33,18,34
25,34,91,89
92,24,2,64
86,71,71,77
45,61,9,61
73,42,27,36
63,52,83,20
73,97,19,36
81,10,16,33
39,93,78,8
70,21,70,83
74,47,99,71
74,66,68,57
42,29,62,19
33,57,96,11
27,86,84,92
24,79,29,13
40,40,54,39
71,28,60,7
99,94,35,92
58,37,39,70
82,38,10,16
65,72,23,95
38,77,52,46
22,34,57,11
84,55,22,56
71,79,30,91
95,33,14,18
17,8,60,53
70,4,34,2
5,79,54,5
96,28,27,71
67,70,64,23
71,11,16,66
80,73,91,28
73,78,97,19
61,28,48,70
15,62,7,54
52,42,83,26
64,5,89,26
65,30,12,38
92,50,73,57
22,20,14,64
29,28,85,33
63,59,31,75
66,55,67,6
87,88,11,37
3,98,47,41
1,17,43,29
69,35,69,40
92,23,90,99
31,12,18,35
19,36,94,92
67,75,20,41
26,80,83,2
75,87,98,59
60,94,88,96
26,60,54,73
71,33,75,59
96,44,58,7
46,74,49,91
80,47,17,4
49,48,12,27
45,16,63,75
33,52,80,62
30,56,25,32
78,31,34,36
8,15,81,61
73,38,70,84
91,47,14,54
72,81,62,8
83,83,88,60
62,59,91,81
59,82,27,54
12,26,71,64
88,11,78,94
97,28,99,14
65,93,26,71
41,73,25,95
69,21,84,39
75,71,82,15
62,64,37,55
90,76,90,21
53,73,46,18
78,46,3,25
70,37,54,62
20,11,51,88
22,83,4,78
32,13,50,97
10,49,79,81
84,42,38,80
21,4,91,49
28,52,71,99
31,83,20,26
17,33,67,66
44,71,52,65
58,53,67,33
29,63,94,66
55,74,12,4
11,64,65,92
79,41,56,34
29,58,54,5
78,53,93,67
42,68,60,75
9,19,32,99
71,63,16,99
52,25,1,8
4,61,31,57
90,88,99,6
19,29,39,42
90,68,6,94
86,95,46,42
95,15,69,14
99,50,41,99
27,26,55,40
13,25,40,13
19,86,12,54
56,48,37,71
18,70,71,28
31,67,33,64
71,12,12,63
72,19,99,99
34,44,80,96
10,72,64,30
61,54,99,8
74,85,15,15
22,73,74,38
80,16,41,11
81,45,79,73
40,95,49,6
76,52,71,66
82,99,40,41
28,83,18,56
32,94,2,11
73,41,83,48
13,81,33,72
28,76,70,14
71,45,57,32
83,73,74,53
5,32,60,48
42,38,80,14
86,58,18,31
65,86,20,95
26,32,65,80
78,25,41,63
89,74,95,96
55,5,84,87
2,22,22,15
80,89,4,27
9,58,61,58
97,21,55,69
87,6,30,93
80,8,39,90
25,71,22,52
25,91,28,73
68,89,72,2
36,64,77,94
59,89,65,90
30,92,43,17
99,30,70,1
26,74,60,27
36,71,61,43
48,40,27,6
89,5,11,39
53,97,10,40
64,80,6,66
66,81,62,53
32,35,17,84
21,11,88,21
29,47,35,50
24,50,33,93
34,86,3,4
31,67,29,30
61,96,35,85
80,61,68,80
66,12,4,82
72,47,6,58
57,79,11,91
65,38,66,49
97,21,98,70
22,70,5,29
34,47,74,62
4,51,66,28
47,60,95,28
87,66,73,4
66,91,25,36
35,74,59,5
33,58,14,49
92,14,48,40
67,38,49,11
81,33,99,23
63,15,22,50
18,6,21,69
54,57,22,96
53,36,41,89
99,97,33,38
3,21,64,43
26,74,49,15
14,81,24,85
8,60,23,96
69,35,35,7
22,79,23,37
31,44,63,60
79,71,10,66
63,10,29,59
75,83,92,32
11,19,92,56
22,2,63,42
59,62,28,21
41,19,30,41
9,93,27,28
3,16,20,66
90,25,31,39
91,51,50,99
34,78,95,35
4,22,26,72
54,59,17,99
1,26,24,85
47,63,60,25
69,91,37,73
10,47,59,68
21,7,34,49
49,96,35,18
12,37,33,97
76,25,67,3
27,39,37,61
9,89,97,83
86,85,32,59
14,6,19,98
43,47,11,27
4,58,46,66
86,63,23,62
44,54,71,5
56,72,20,37
28,23,3,32
47,79,21,55
69,59,46,1
30,68,76,97
3,68,71,76
31,40,4,84
16,89,41,67
29,64,3,49
61,77,32,62
63,36,20,92
73,84,45,18
27,51,13,42
38,77,8,72
67,92,29,90
77,45,77,2
7,96,71,65
54,80,5,91
62,48,99,28
93,48,94,15
57,94,55,47
20,46,62,32
56,44,79,32
86,83,15,87
14,74,82,11
35,69,86,81
89,88,31,83
31,98,26,11
66,47,50,78
84,20,91,8
38,76,99,91
58,41,7,77
85,73,83,34
15,58,83,55
74,10,8,29
47,60,81,44
72,52,20,55
42,94,14,77
65,9,88,35
92,7,36,29
5,2,72,55
3,90,35,6
62,4,97,40
22,54,55,22
84,90,95,68
40,49,36,20
68,80,65,44
16,34,53,99
49,37,61,7
18,82,29,70
20,28,94,20
20,9,41,68
87,3,30,14
76,75,3,83
57,84,89,1
83,74,79,96
74,53,4,55
25,60,68,42
83,90,30,37
84,34,69,66
60,3,75,86
58,89,90,88
7,69,52,57
48,25,26,22
10,27,21,10
19,91,80,79
51,72,12,58
44,91,41,8
41,66,78,79
82,81,58,80
45,37,68,10
97,14,80,33
35,43,91,88
2,32,11,80
40,22,15,30
42,70,97,90
2,4,54,26
79,58,66,87
54,98,98,28
8,1,4,63
8,77,8,39
87,23,81,80
69,53,15,44
35,53,43,43
31,3,62,18
91,77,79,56
49,63,6,3
66,16,2,14
23,33,24,65
86,64,3,67
96,21,37,69
48,37,31,28
30,23,54,6
13,53,40,45
75,36,78,99
24,74,36,92
75,34,78,74
52,41,67,41
9,89,7,55
95,8,1,91
21,33,35,71
48,48,35,30
27,25,35,61
7,26,8,45
10,32,84,64
82,56,83,97
47,32,18,55
51,73,56,84
63,70,21,10
91,97,8,88
94,12,76,2
15,45,6,75
71,87,35,19
45,63,18,11
53,43,21,74
66,56,38,6
82,80,17,92
91,75,19,2
1,85,20,29
6,76,49,6
4,28,30,36
61,61,41,80
62,49,51,42
48,30,60,17
64,86,99,97
50,22,55,38
6,79,59,59
34,37,44,59
82,12,31,69
65,36,98,56
8,17,99,53
44,21,10,17
70,9,92,50
64,92,88,29
39,18,49,24
14,17,56,28
74,25,93,60
8,84,69,14
51,47,10,17
33,50,10,24
62,61,52,80
97,36,52,38
35,82,96,62
25,17,61,77
6,29,14,5
49,65,30,36
4,85,16,49
74,29,57,84
52,28,43,79
11,2,58,8
67,12,66,19
7,28,52,78
12,39,44,86
83,24,22,52
19,77,30,74
28,60,16,3
71,57,3,73
23,89,53,8
82,17,46,17
30,17,73,54
82,40,54,93
81,79,22,83
70,5,49,94
64,90,28,37
72,36,82,13
47,69,8,77
38,95,21,90
38,88,76,64
98,56,77,39
89,52,31,56
25,95,83,41
17,4,40,18
51,38,87,12
25,71,43,74
45,1,71,59
28,66,66,25
33,82,79,24
46,74,95,64
11,58,65,39
68,10,79,56
22,85,94,22
10,55,12,21
13,92,15,32
18,18,62,33
43,99,75,28
31,18,64,95
74,78,89,78
51,24,16,47
80,3,26,18
54,75,64,66
52,89,53,63
80,67,23,20
36,21,19,48
91,60,89,1
4,45,4,12
51,69,95,70
50,81,8,24
34,20,45,72
4,24,15,91
72,65,38,78
56,28,58,62
62,45,86,84
45,24,75,11
65,33,7,63
42,21,73,91
63,35,7,75
31,41,20,7
81,49,55,47
79,3,5,13
17,40,49,10
46,34,97,74
2,12,53,93
76,25,49,10
55,15,79,7
37,93,29,58
9,75,49,20
56,13,82,20
56,8,65,24
66,38,86,9
25,31,95,74
91,39,29,45
73,12,36,77
38,30,13,96
85,31,99,69
37,70,80,43
17,35,45,30
71,4,97,3
56,66,66,12
91,81,45,83
48,23,25,57
85,65,83,34
57,39,51,45
4,36,9,66
21,38,27,69
62,58,44,75
50,79,73,95
80,21,68,41
85,98,56,89
65,15,76,11
96,67,62,11
71,17,8,49
47,17,17,8
12,22,44,9
59,18,67,80
68,24,1,10
8,50,2,15
89,96,69,50
88,25,96,92
23,32,47,35
67,32,45,87
75,41,54,33
99,91,11,99
51,4,68,27
38,26,23,42
5,44,54,72
31,98,56,56
82,9,79,46
54,98,76,54
83,65,56,42
94,11,57,34
65,6,49,41
65,88,69,64
61,44,86,23
24,75,6,69
13,77,53,7
85,50,75,73
63,45,55,58
38,28,29,39
30,3,12,93
73,80,4,70
9,39,32,68
54,17,31,60
35,3,78,48
95,53,25,28
84,19,24,95
96,40,67,18
19,27,89,20
10,59,11,73
1,69,30,81
98,95,51,67
78,8,10,55
41,68,43,87
17,98,42,88
66,94,96,63
64,52,44,14
70,38,50,15
