A,B,C,D
85,94,56,93
80,83,39,99
41,11,92,64
90,85,24,27
3,69,58,5
1,14,98,49
96,26,12,61
3,50,46,21
30,46,45,73
24,15,66,4
31,8,68,26
7,16,6,78
51,42,43,55
94,22,86,65
74,33,71,67
63,49,68,61
24,72,36,25
86,25,64,69
91,23,74,5
60,66,17,94
21,90,55,40
68,72,38,59
59,65,28,2
4,76,6,69
84,20,38,6
91,48,91,77
99,84,50,54
72,63,58,27
38,82,30,66
56,49,86,41
13,58,38,43
52,27,84,15
11,36,71,51
7,1,15,42
71,17,73,95
45,44,13,35
91,63,65,93
74,8,5,36
9,37,25,52
9,62,6,7
31,61,43,98
1,94,13,51
69,58,22,22
48,2,70,58
94,9,68,55
4,85,35,83
33,93,71,4
37,87,22,44
32,72,29,79
78,80,91,33
81,13,15,17
76,10,18,40
1,22,83,43
18,33,98,8
7,81,52,63
34,55,44,2
21,65,94,63
25,8,99,76
28,48,69,51
19,61,57,20
28,11,53,10
86,25,25,36
33,57,34,72
75,70,62,67
9,39,93,26
2,11,34,47
77,53,18,71
39,29,4,38
40,76,88,86
31,18,52,81
55,89,27,24
19,32,85,88
11,64,84,31
31,34,93,10
33,87,38,95
86,17,72,79
51,89,57,93
12,2,4,62
69,41,45,42
27,38,41,49
27,28,4,41
27,89,22,20
95,89,3,3
56,37,5,2
73,68,14,16
17,24,54,12
58,68,96,21
10,76,96,28
27,63,17,52
32,77,46,63
59,66,36,8
80,69,45,88
42,65,80,86
44,4,42,74
66,80,58,28
37,13,92,15
79,43,56,80
31,49,17,41
44,37,57,97
23,81,28,99
18,89,70,78
27,63,67,33
53,57,54,21
71,26,77,86
11,99,66,72
12,52,44,82
19,25,59,1
94,64,19,76
56,95,4,54
12,58,15,14
46,90,6,47
51,47,60,37
89,71,29,97
47,25,96,3
62,61,42,87
90,67,19,39
39,29,57,15
8,36,84,87
16,26,9,46
66,64,62,99
18,16,87,72
82,4,78,95
8,82,92,11
15,47,40,8
66,76,31,15
15,15,97,67
43,41,7,30
36,77,58,27
3,14,24,14
17,41,48,92
40,63,5,46
73,37,75,83
70,36,32,14
10,27,16,78
28,64,58,52
45,28,54,1
38,92,43,20
87,7,11,4
7,14,82,56
62,39,25,7
90,97,45,84
50,97,32,2
79,83,42,77
26,36,37,15
93,48,14,87
66,69,1,37
27,72,50,5
74,60,7,19
66,57,94,83
9,84,15,1
97,2,33,6
32,79,97,25
70,61,95,55
39,37,10,55
73,45,98,60
2,98,77,97
22,61,32,28
65,45,79,69
73,57,27,35
88,97,12,80
64,36,66,27
39,79,54,43
17,91,3,3
6,23,36,94
46,22,15,23
44,85,83,82
92,7,18,7
85,53,68,99
24,35,72,40
29,66,37,33
96,8,18,23
87,99,63,72
37,97,33,42
28,82,30,49
22,97,41,27
6,34,70,97
96,56,74,33
5,77,37,62
47,81,18,46
54,93,50,87
77,64,90,25
69,66,84,89
28,76,68,17
79,20,47,32
71,81,90,8
74,26,54,5
51,66,54,15
98,44,28,26
25,54,58,60
59,85,80,38
69,45,13,38
7,29,55,97
64,11,39,59
12,41,95,75
95,93,6,36
23,79,68,24
89,15,15,50
93,4,22,16
43,35,15,36
18,45,93,70
82,94,3,75
89,2,98,23
2,13,84,33
60,16,17,73
7,49,66,71
54,91,86,36
60,28,16,87
41,14,46,66
62,67,57,37
47,99,91,67
53,15,49,7
59,5,94,72
44,27,93,65
42,17,80,50
61,98,99,37
18,36,97,80
2,95,85,82
77,70,87,92
64,8,17,38
51,64,84,7
81,2,43,25
69,79,39,76
73,42,12,68
10,66,73,43
76,96,72,58
23,92,21,77
8,23,33,1
44,12,84,59
6,32,91,55
11,61,72,17
99,21,63,16
80,39,72,29
94,28,74,83
84,51,28,3
21,17,25,24
26,76,24,98
86,65,22,10
73,12,41,43
54,20,19,63
42,43,75,49
70,31,20,21
81,53,30,52
79,70,54,30
34,99,53,88
59,53,9,21
53,54,53,65
42,18,86,23
40,82,52,23
79,63,60,8
10,53,34,16
11,33,22,94
4,8,51,41
30,26,68,76
55,25,55,99
41,81,95,56
77,37,7,50
95,14,5,42
33,22,47,12
29,90,37,11
27,75,23,19
36,59,15,21
67,33,22,81
