E,F,G,H
179,-9,5208,0.6021505376344086
163,-3,3861,0.3939393939393939
52,30,5888,1.4375
175,5,648,0.8888888888888888
72,-66,290,11.6
15,-13,4802,2.0
122,70,732,0.19672131147540983
53,-47,966,2.1904761904761907
76,-16,3285,0.6164383561643836
39,9,264,16.5
39,23,1768,2.6153846153846154
23,-9,468,0.07692307692307693
93,9,2365,0.7818181818181819
116,72,5590,1.323076923076923
107,41,4757,1.0597014925373134
112,14,4148,1.1147540983606556
96,-48,900,1.44
111,61,4416,0.927536231884058
114,68,370,14.8
126,-6,1598,0.18085106382978725
111,-69,2200,1.375
140,-4,2242,0.6440677966101694
124,-6,56,14.0
80,-72,414,0.08695652173913043
104,64,228,6.333333333333333
139,43,7007,1.1818181818181819
183,15,2700,0.9259259259259259
135,9,1566,2.1481481481481484
120,-44,1980,0.45454545454545453
105,7,3526,2.097560975609756
71,-45,1634,0.8837209302325582
79,25,1260,5.6
47,-25,3621,1.392156862745098
8,6,630,0.35714285714285715
88,54,6935,0.7684210526315789
89,1,455,0.37142857142857144
154,28,6045,0.6989247311827957
82,66,180,0.1388888888888889
46,-28,1300,0.4807692307692308
71,-53,42,0.8571428571428571
92,-30,4214,0.4387755102040816
95,-93,663,0.2549019607843137
127,11,484,1.0
50,46,4060,1.206896551724138
103,85,3740,1.2363636363636363
89,-81,2905,0.42168674698795183
126,-60,284,17.75
124,-50,968,0.5
104,-40,2291,0.3670886075949367
158,-2,3003,2.757575757575758
94,68,255,0.8823529411764706
86,66,720,0.45
23,-21,3569,1.930232558139535
51,-15,784,12.25
88,-74,3276,0.8253968253968254
89,-21,88,22.0
86,-44,5922,1.492063492063492
33,17,7524,1.3026315789473684
76,-20,3519,1.3529411764705883
80,-42,1140,2.85
39,17,530,5.3
111,61,900,0.6944444444444444
90,-24,2448,0.4722222222222222
145,5,4154,0.9253731343283582
48,-30,2418,3.576923076923077
13,-9,1598,0.723404255319149
130,24,1278,0.2535211267605634
68,10,152,0.10526315789473684
116,-36,7568,1.0232558139534884
49,13,4212,0.6419753086419753
144,-34,648,1.125
51,-13,7480,0.9659090909090909
75,-53,2604,2.7096774193548385
65,-3,930,9.3
120,-54,3610,0.4
103,69,5688,0.9113924050632911
140,-38,5301,0.6129032258064516
14,10,248,0.06451612903225806
110,28,1890,1.0714285714285714
65,-11,2009,0.8367346938775511
55,-1,164,0.0975609756097561
116,-62,440,1.1
184,6,9,1.0
93,19,10,2.5
141,5,224,0.875
41,-7,648,4.5
126,-10,2016,4.571428571428571
86,-66,2688,3.4285714285714284
90,-36,884,0.3269230769230769
109,-45,2898,0.7301587301587301
125,-7,288,4.5
149,11,3960,0.5113636363636364
107,-23,6880,0.9302325581395349
48,40,3108,0.5675675675675675
146,-14,1624,2.0714285714285716
50,24,1380,6.133333333333334
122,36,4480,0.7
80,-18,697,0.4146341463414634
81,7,5529,0.5876288659793815
104,-58,2772,0.2828282828282828
107,-71,5460,0.8974358974358975
90,-36,2211,2.0303030303030303
110,-4,1134,2.5714285714285716
97,45,6622,0.8953488372093024
110,-88,4752,0.9166666666666666
64,-40,3608,0.5365853658536586
44,-6,59,59.0
158,30,1444,0.25
151,-39,216,0.07407407407407407
70,-46,210,1.0714285714285714
136,-44,282,0.1276595744680851
98,4,2220,1.6216216216216217
160,18,2813,0.29896907216494845
72,22,288,32.0
123,1,3654,0.4827586206896552
157,23,741,0.48717948717948717
68,10,855,3.8
44,-28,7308,0.9655172413793104
42,-10,414,0.1956521739130435
130,2,6138,0.6262626262626263
34,2,6264,1.2083333333333333
86,78,7410,0.8210526315789474
90,-74,1012,8.363636363636363
62,-32,320,5.0
142,-10,465,2.066666666666667
30,0,6499,1.4477611940298507
84,2,210,0.23333333333333334
113,-41,1566,2.1481481481481484
17,-11,336,1.7142857142857142
58,-24,4416,0.5217391304347826
103,-23,230,0.10869565217391304
110,36,6225,0.9036144578313253
106,34,448,2.2857142857142856
37,-17,1248,0.20512820512820512
92,-36,3016,1.1153846153846154
73,17,54,54.0
130,-54,860,2.15
94,80,44,2.75
21,-7,4592,1.4642857142857142
101,23,175,3.5714285714285716
187,-7,3780,0.5357142857142857
147,-47,64,16.0
162,-4,3234,0.5454545454545454
62,-10,555,2.466666666666667
141,45,1218,0.16091954022988506
135,-3,37,0.02702702702702703
99,-45,250,10.0
134,14,133,0.3684210526315789
123,9,7802,1.1325301204819278
93,-75,15,15.0
99,95,198,5.5
111,-47,2425,3.88
131,9,5225,1.7272727272727273
76,2,550,0.18181818181818182
118,28,5880,1.6333333333333333
100,-96,7469,0.7938144329896907
83,-39,896,1.1428571428571428
110,20,5451,1.144927536231884
130,16,945,0.7714285714285715
185,-9,960,0.15
100,28,1782,2.4444444444444446
118,-40,2322,1.255813953488372
108,-74,9,1.0
29,-17,3384,0.3829787234042553
68,24,345,0.6521739130434783
129,-41,6806,1.0121951219512195
99,85,126,2.5714285714285716
138,32,6732,0.6868686868686869
59,-11,2880,1.8
95,-37,1221,1.121212121212121
104,88,414,0.782608695652174
186,-12,4536,0.875
134,-60,1386,0.7857142857142857
110,-54,1470,0.6122448979591837
119,-75,1107,1.5185185185185186
40,-28,6790,0.7216494845360825
152,40,2442,2.242424242424242
82,-72,2294,0.5967741935483871
128,-34,828,0.391304347826087
147,-39,4350,0.5747126436781609
141,13,2250,3.6
135,3,7476,0.9438202247191011
104,-48,1156,4.0
99,59,1504,1.46875
152,-10,720,11.25
100,48,270,10.8
117,-15,810,3.6
142,54,728,1.0769230769230769
79,-29,3480,0.9666666666666667
144,-26,3040,2.1052631578947367
114,24,494,0.34210526315789475
36,-22,5335,0.5670103092783505
75,53,2301,0.6610169491525424
53,-29,7125,1.2666666666666666
188,2,216,0.16666666666666666
102,-56,1632,2.8333333333333335
104,74,750,0.3
97,89,352,1.375
78,8,540,0.4166666666666667
63,-27,6510,1.3285714285714285
176,-12,225,0.04
91,87,2254,4.260869565217392
15,-11,2772,2.5454545454545454
76,44,1241,0.2328767123287671
56,-42,4686,0.9295774647887324
145,-37,3096,2.388888888888889
88,32,1392,0.1839080459770115
55,27,3036,0.696969696969697
129,-5,2109,1.5405405405405406
146,-52,6097,1.3582089552238805
68,38,343,7.0
64,54,6768,1.3055555555555556
71,17,6045,1.4307692307692308
59,25,4000,1.6
159,-37,3663,2.675675675675676
54,-18,7760,1.2125
97,-93,6970,1.0365853658536586
147,7,8004,0.9456521739130435
72,56,646,0.4473684210526316
115,-13,588,12.0
83,79,1075,1.72
148,-10,2964,0.5131578947368421
115,31,816,0.17647058823529413
76,-56,3139,1.697674418604651
172,-20,4176,1.2413793103448276
115,-69,1617,0.2727272727272727
31,-15,33,33.0
56,32,4956,1.423728813559322
38,-26,5005,1.6545454545454545
72,-50,1224,4.235294117647059
120,78,1008,3.9375
119,41,2088,2.4827586206896552
122,66,6142,0.891566265060241
135,33,84,9.333333333333334
38,4,600,1.0416666666666667
102,-50,2352,0.24489795918367346
151,21,220,2.2
85,61,1763,0.9534883720930233
74,34,1197,0.30158730158730157
85,-1,3675,1.530612244897959
101,39,420,0.9523809523809523
134,28,1560,0.5769230769230769
149,9,1620,1.8
133,-65,4664,0.6022727272727273
112,6,189,0.42857142857142855
107,-1,3445,0.8153846153846154
60,24,1978,3.739130434782609
122,-42,1196,2.260869565217391
142,16,480,7.5
63,-43,544,2.125
44,-22,2068,0.23404255319148937
12,-4,2091,1.2439024390243902
56,4,5168,0.8947368421052632
80,30,5445,0.5555555555555556
122,-40,5320,1.6964285714285714
114,40,350,0.14
109,81,210,0.11904761904761904
55,11,564,3.9166666666666665
119,-61,407,3.3636363636363638
102,-48,437,1.2105263157894737
95,-23,315,0.7142857142857143
100,34,1782,0.2716049382716049
91,-73,870,8.7
39,13,3969,0.6049382716049383
136,46,4512,0.4895833333333333
122,-8,7084,1.1948051948051948
126,-16,544,2.125
22,-6,4224,0.4583333333333333
92,4,2880,0.5555555555555556
98,-16,1035,0.21739130434782608
73,-31,6364,0.8604651162790697
127,49,2365,0.7818181818181819
132,-58,2058,1.1666666666666667
120,-46,896,0.2857142857142857
91,33,8460,0.9574468085106383
118,-18,3913,0.4725274725274725
166,-18,5742,0.7586206896551724
84,76,644,0.07608695652173914
95,-13,6,1.5
89,77,1353,1.2424242424242424
8,-4,108,27.0
132,-42,368,0.6956521739130435
100,10,1235,3.4210526315789473
134,60,1184,0.21621621621621623
129,-15,2336,0.4383561643835616
123,9,4350,1.293103448275862
153,-29,1944,0.2962962962962963
103,-87,1071,0.4117647058823529
66,12,1023,1.064516129032258
63,-51,4745,0.8904109589041096
84,64,6478,0.9634146341463414
175,23,1290,0.1744186046511628
114,12,2128,0.6785714285714286
78,-30,5626,1.6724137931034482
106,-20,1512,0.5185185185185185
55,-5,300,8.333333333333334
127,25,4224,2.1818181818181817
3,1,144,36.0
116,-48,1358,6.928571428571429
128,42,3519,0.7391304347826086
40,-14,187,0.6470588235294118
65,-5,2904,0.375
128,54,1122,3.8823529411764706
52,-10,38,0.10526315789473684
117,57,1840,1.15
43,21,6424,0.8295454545454546
129,59,1647,0.4426229508196721
33,27,3388,0.5714285714285714
20,-4,1606,3.3181818181818183
63,15,5100,1.1029411764705883
188,10,1932,0.4057971014492754
39,-21,6603,1.3098591549295775
9,3,6020,0.813953488372093
135,55,3180,1.1320754716981132
97,-65,3819,0.8507462686567164
86,-74,2915,1.0377358490566038
124,68,57,0.15789473684210525
56,28,1896,0.3037974683544304
141,-31,2408,0.7678571428571429
87,23,2236,1.2093023255813953
107,-77,1785,4.0476190476190474
76,20,4224,0.5454545454545454
62,34,715,5.909090909090909
135,21,1104,0.5217391304347826
25,13,899,1.0689655172413792
161,-35,3723,0.6986301369863014
92,42,3864,2.1904761904761907
158,40,130,5.2
115,-47,852,5.916666666666667
87,35,4500,0.5555555555555556
40,-2,6862,1.2876712328767124
109,13,1378,2.0384615384615383
189,-1,410,16.4
67,35,296,0.05405405405405406
129,-37,66,0.5454545454545454
133,-45,418,0.2894736842105263
91,3,4221,1.0634920634920635
103,67,5049,0.5151515151515151
89,-65,95,95.0
100,-8,3712,1.103448275862069
144,-36,94,23.5
71,11,4536,1.4464285714285714
95,5,8550,0.9473684210526315
97,19,3330,2.4324324324324325
53,-19,5568,0.6041666666666666
112,74,1050,1.1666666666666667
101,21,689,4.076923076923077
46,-30,3280,0.5125
172,-20,2193,0.8431372549019608
40,-16,704,5.818181818181818
98,78,1649,5.705882352941177
159,-27,6106,1.2112676056338028
81,31,3685,0.8208955223880597
132,24,640,0.625
143,-11,2970,0.6818181818181818
170,2,7826,0.945054945054945
59,27,616,1.2727272727272727
101,-33,7488,0.8125
78,10,6279,0.7582417582417582
80,-76,1180,0.3389830508474576
87,77,2888,2.0
33,-13,3024,1.037037037037037
84,56,2750,1.1
145,-19,952,0.8235294117647058
119,3,5684,1.6896551724137931
110,-14,5112,1.0140845070422535
142,-30,1404,2.076923076923077
135,-57,3135,1.0363636363636364
111,-19,322,0.15217391304347827
60,-2,1056,1.03125
155,9,387,4.777777777777778
143,41,2520,0.7
147,49,4235,0.7142857142857143
119,-75,612,0.23529411764705882
80,-64,3393,0.4482758620689655
107,11,3300,1.7045454545454546
48,-28,5264,0.5957446808510638
106,88,1775,0.352112676056338
153,-3,594,1.8333333333333333
88,-60,288,0.05555555555555555
59,55,5141,0.5463917525773195
49,-11,4752,1.6296296296296295
47,17,1001,5.923076923076923
164,32,5096,1.625
85,-53,8428,1.1395348837209303
93,59,67,67.0
109,-53,6750,0.8333333333333334
75,67,6557,1.0506329113924051
68,42,465,0.4838709677419355
120,-32,648,1.125
88,-46,4615,0.9154929577464789
42,20,589,0.6129032258064516
134,-36,801,0.10112359550561797
32,-18,6570,0.8111111111111111
65,-45,6764,0.8539325842696629
85,-25,1826,0.26506024096385544
131,47,2200,0.7272727272727273
149,7,52,0.3076923076923077
64,-16,2697,2.806451612903226
122,-48,684,0.5277777777777778
88,20,420,2.9166666666666665
120,48,930,0.24193548387096775
33,25,1953,2.032258064516129
135,-31,960,0.9375
103,29,3245,1.0727272727272728
45,-5,1245,0.18072289156626506
42,28,588,12.0
69,47,2880,0.8
160,-28,3237,0.46987951807228917
18,4,3717,0.9365079365079365
35,3,14,0.07142857142857142
101,15,1971,2.7037037037037037
109,31,176,0.09090909090909091
50,-34,7614,1.1604938271604939
75,-51,126,0.2857142857142857
114,-70,704,0.09090909090909091
170,26,2052,1.4210526315789473
125,-53,4233,0.6144578313253012
132,-54,6566,1.462686567164179
118,-70,40,2.5
78,6,451,0.2682926829268293
160,-24,2014,1.394736842105263
129,55,396,2.75
130,-20,377,2.230769230769231
39,-35,88,88.0
137,-5,2145,0.5076923076923077
113,71,1280,0.8
51,11,4186,0.5054945054945055
155,-31,3318,1.880952380952381
93,19,1394,1.2058823529411764
58,4,5940,0.6060606060606061
148,32,205,0.12195121951219512
108,28,240,0.26666666666666666
106,-64,145,5.8
30,10,990,0.12222222222222222
53,45,648,0.2222222222222222
164,-12,680,1.7
58,42,2670,0.33707865168539325
67,-11,4200,0.7466666666666667
80,0,1072,4.1875
151,-7,740,7.4
98,-70,5696,1.390625
57,-47,4500,0.8
71,63,3136,0.32653061224489793
190,2,966,2.1904761904761907
88,-58,806,1.1923076923076923
171,-27,2080,1.3
121,51,3120,1.1538461538461537
88,-8,5808,1.3333333333333333
128,-62,1140,2.85
74,-10,154,0.7857142857142857
108,58,1925,3.08
66,62,4636,0.8026315789473685
41,-39,5402,0.9864864864864865
89,79,408,0.08823529411764706
111,5,2470,1.7105263157894737
100,8,5980,0.7065217391304348
139,7,1352,2.0
40,-20,1536,0.6666666666666666
106,-4,7663,1.2278481012658229
102,-88,1647,2.259259259259259
50,-6,4230,0.4787234042553192
114,-24,150,16.666666666666668
60,8,376,23.5
76,-68,1653,0.21839080459770116
100,-8,2856,1.619047619047619
56,44,1406,0.9736842105263158
89,43,2816,2.75
90,-16,663,2.2941176470588234
92,-12,592,9.25
121,21,1896,0.3037974683544304
118,-76,3350,1.34
61,55,26,6.5
150,16,56,56.0
123,-11,5760,1.6
100,32,3350,0.746268656716418
67,35,8360,0.9263157894736842
110,26,3569,1.930232558139535
160,10,6776,1.1428571428571428
108,-80,6,0.6666666666666666
109,-37,95,3.8
182,-2,1377,1.8888888888888888
22,8,2340,1.1555555555555554
166,22,1224,3.7777777777777777
101,-11,2911,0.5774647887323944
149,-41,1449,2.739130434782609
161,19,91,0.01098901098901099
82,80,560,0.11428571428571428
57,-27,120,0.20833333333333334
108,-58,68,0.014705882352941176
49,47,5520,0.6521739130434783
85,55,4582,1.3620689655172413
16,0,100,0.25
71,-17,1300,0.3076923076923077
108,18,3762,1.1578947368421053
16,-2,5418,1.3650793650793651
92,-42,2001,3.782608695652174
161,35,6723,0.9759036144578314
151,-17,465,0.053763440860215055
127,39,1302,0.3387096774193548
72,2,5734,1.540983606557377
139,-51,1247,0.6744186046511628
12,0,442,0.38235294117647056
54,10,4158,0.7012987012987013
56,54,3760,0.425531914893617
84,14,900,9.0
103,-63,110,4.4
136,18,3239,0.5189873417721519
66,60,352,22.0
117,33,2387,0.4025974025974026
80,10,481,0.35135135135135137
76,34,176,0.6875
134,22,1748,0.20652173913043478
157,17,1020,3.5294117647058822
61,-1,828,0.09782608695652174
112,-8,6664,1.4411764705882353
163,3,2720,0.425
128,-26,2475,1.2222222222222223
53,19,1886,0.2804878048780488
67,-45,4838,1.3898305084745763
96,-82,2716,0.28865979381443296
105,83,3478,0.39361702127659576
140,-10,780,0.21666666666666667
79,27,640,0.625
121,-69,2916,1.0
47,-27,3869,0.726027397260274
75,-9,4116,1.7142857142857142
73,-55,4278,2.0217391304347827
101,79,1075,1.72
125,-23,693,5.7272727272727275
13,-3,244,0.06557377049180328
34,-32,765,9.444444444444445
129,39,481,2.8461538461538463
114,48,975,0.6410256410256411
36,34,814,0.5945945945945946
19,-11,6532,0.7717391304347826
131,-61,2080,0.7692307692307693
111,11,378,1.1666666666666667
105,11,7225,1.0
81,-65,960,2.4
103,-53,1638,0.9285714285714286
150,30,2360,1.475
35,-13,9306,1.053191489361702
42,0,740,0.13513513513513514
103,81,1932,0.27380952380952384
134,-42,6762,0.7040816326530612
158,8,9207,0.9393939393939394
156,2,737,0.16417910447761194
146,-34,1300,3.25
120,-76,4410,0.45918367346938777
63,-59,3195,0.6338028169014085
166,-6,2838,2.606060606060606
117,61,1210,0.4
95,-39,4992,1.8461538461538463
51,17,135,1.6666666666666667
163,-13,2340,0.38461538461538464
110,86,3920,1.25
82,56,2581,0.3258426966292135
124,28,7221,1.0481927710843373
23,-11,1620,4.05
138,-30,693,1.5714285714285714
164,-28,2079,0.35064935064935066
117,-75,2745,0.7377049180327869
112,44,5490,1.4754098360655739
150,26,1968,3.4166666666666665
109,-11,28,7.0
160,8,74,0.013513513513513514
39,-35,1860,0.21505376344086022
73,33,5733,0.6923076923076923
26,-18,1183,0.14285714285714285
46,8,5293,0.8481012658227848
148,-46,3304,1.0535714285714286
112,54,544,0.11764705882352941
93,15,1628,1.1891891891891893
59,5,561,0.21568627450980393
137,55,1220,0.32786885245901637
116,-78,370,3.7
63,35,100,1.0
186,4,7663,0.8144329896907216
66,24,950,0.38
179,-13,296,4.625
78,-74,3168,1.6363636363636365
79,-61,4761,1.0
70,34,312,0.46153846153846156
92,-52,2790,0.7258064516129032
134,-34,480,0.075
57,23,3675,1.530612244897959
169,9,1632,0.17708333333333334
159,29,5016,1.543859649122807
97,87,6622,0.8953488372093024
137,-5,3008,1.3617021276595744
195,3,1296,2.25
7,5,196,12.25
100,-14,2691,0.5652173913043478
117,67,2635,0.36470588235294116
33,-11,4588,0.8378378378378378
68,48,4094,1.934782608695652
67,-47,4950,0.88
152,-14,2240,2.857142857142857
62,32,7584,1.2151898734177216
153,-19,1127,0.46938775510204084
134,-2,240,0.0375
100,72,2820,1.2765957446808511
59,19,1980,0.9777777777777777
25,-19,260,0.06153846153846154
90,82,1368,1.0555555555555556
120,18,885,3.933333333333333
120,-20,3948,0.44680851063829785
89,-43,132,0.2727272727272727
140,-2,552,8.625
67,59,2800,1.75
182,-12,56,0.07142857142857142
83,69,1196,0.14130434782608695
54,-8,1148,0.17073170731707318
69,-43,1924,0.35135135135135137
80,-30,8178,0.925531914893617
78,-10,2109,1.5405405405405406
135,15,3256,0.42045454545454547
65,33,924,0.13095238095238096
19,11,534,14.833333333333334
63,-9,792,9.777777777777779
27,23,3195,0.6338028169014085
126,26,2280,1.425
61,11,415,0.060240963855421686
189,1,2418,0.27956989247311825
125,-53,768,3.0
59,-5,5372,0.8607594936708861
24,-10,4278,1.1129032258064515
105,-13,84,0.011904761904761904
101,3,4158,0.9545454545454546
106,34,1162,0.1686746987951807
75,-61,4902,0.6627906976744186
88,-28,3332,0.3469387755102041
61,23,672,0.65625
33,-1,3430,0.35714285714285715
120,62,360,0.9
114,-32,2698,1.868421052631579
49,13,528,14.666666666666666
63,-49,646,2.235294117647059
93,-3,630,3.2142857142857144
157,-9,1092,2.4761904761904763
97,93,2128,1.4736842105263157
79,63,560,0.7142857142857143
51,11,10,0.1
94,60,3450,0.7246376811594203
89,31,2982,0.5915492957746479
28,4,4165,0.5764705882352941
62,-38,1406,0.25675675675675674
59,9,52,13.0
179,5,1242,1.7037037037037037
18,8,1950,2.8846153846153846
57,-53,2464,0.4155844155844156
127,55,1260,0.17857142857142858
41,-19,6789,1.273972602739726
90,-24,570,0.06315789473684211
124,-10,2044,2.607142857142857
52,38,5673,1.5245901639344261
173,-7,99,0.010101010101010102
41,19,4599,1.1587301587301588
93,59,492,3.4166666666666665
